Job Name,Job ID,User Name,Comment,Department,Submit Machine,Submit Date Time,Start Date Time,Finish Date Time,Pool,Group,Priority,Frame List,Frame Count,Task Count,Plugin,Auxiliary Files,Auxiliary File Size (Bytes),Machine Limit,Error Count,Average Concurrent Tasks,Clock Render Time,Total Task Time,Average Task Time,Median Task Time,Total Task Startup Time,Average Task Startup Time,Median Task Startup Time,Total Task Render Time,Average Task Render Time,Median Task Render Time,Total Normalized Task Render Time,Average Normalized Task Render Time,Median Normalized Task Render Time,Average Frame Time,Average Frame Startup Time,Average Frame Render Time,Average Normalized Frame Render Time,Median Frame Time,Median Frame Startup Time,Median Frame Render Time,Median Normalized Frame Render Time,Wasted Error Time,Wasted Requeue Time,Total Output File Size (Bytes),Average Output File Size (Bytes),Median Output File Size (Bytes),Peak RAM Usage (Bytes),Average RAM Usage (Bytes),Median RAM Usage (Bytes),Peak CPU Usage,Average CPU Usage,Median CPU Usage,Used CPU Clocks,Total CPU Clocks,Peak Swap Usage (Bytes),Average Swap Usage (Bytes),Median Swap Usage (Bytes),Batch Name
com_0190_prep_srwall_v002.nk,66db54837e6b4b9c2f4c0dc1,tarun.chaudhary,,,pnewspt083.basilic.com,2024/09/07 0:44:11,2024/09/07 0:44:12,2024/09/07 0:44:50,2d_pool,2d_group,50,994-1084,91,10,Nuke,1,7667621,0,0,9,00:00:00:37,00:00:05:39,00:00:00:33,00:00:00:35,00:00:00:28,00:00:00:02,00:00:00:02,00:00:05:10,00:00:00:31,00:00:00:32,00:00:05:10,00:00:00:31,00:00:00:32,00:00:00:03,00:00:00:00,00:00:00:03,00:00:00:03,00:00:00:04,00:00:00:01,00:00:00:04,00:00:00:04,00:00:00:00,00:00:00:00,0,0,0,3832684544,950723891,1029138560,44 %,1 %,1 %,1370171,83569623,0,0,0,
com_0190_prep_srwall_v002.nk,66db56107e6b4b9c2f4c0e13,tarun.chaudhary,,,pnewspt083.basilic.com,2024/09/07 0:50:47,2024/09/07 0:50:50,2024/09/07 0:51:08,2d_pool,2d_group,50,1,1,1,Nuke,1,7667601,0,0,1,00:00:00:18,00:00:00:18,00:00:00:18,00:00:00:18,00:00:00:02,00:00:00:02,00:00:00:02,00:00:00:15,00:00:00:15,00:00:00:15,00:00:00:15,00:00:00:15,00:00:00:15,00:00:00:18,00:00:00:02,00:00:00:15,00:00:00:15,00:00:00:19,00:00:00:03,00:00:00:16,00:00:00:16,00:00:00:00,00:00:00:00,0,0,0,608403456,432008800,432008800,1 %,1 %,1 %,38688,3868762,0,0,0,
com_0190_prep_srwall_v002.nk,66db56ca7e6b4b9c2f4c0e43,tarun.chaudhary,,,pnewspt083.basilic.com,2024/09/07 0:53:54,2024/09/07 0:53:55,2024/09/07 0:54:26,2d_pool,2d_group,50,994-1084,91,10,Nuke,1,7667568,0,0,9,00:00:00:31,00:00:04:34,00:00:00:27,00:00:00:28,00:00:00:29,00:00:00:02,00:00:00:02,00:00:04:05,00:00:00:24,00:00:00:25,00:00:04:05,00:00:00:24,00:00:00:25,00:00:00:03,00:00:00:00,00:00:00:02,00:00:00:02,00:00:00:03,00:00:00:01,00:00:00:03,00:00:00:03,00:00:00:00,00:00:00:00,0,0,0,3976675328,855539987,899844096,78 %,2 %,1 %,1729065,65645483,0,0,0,
MA1600_paint_seamesremove_v006.nk,66db587a7e6b4b9c2f4c0ea3,sujit.mule,,paint,pnewspt097,2024/09/07 1:01:06,2024/09/07 1:01:07,2024/09/07 1:14:24,2d_pool,2d_group,100,1001-2347,1347,1347,Nuke,1,626289,0,1,49,00:00:13:16,00:10:49:56,00:00:00:28,00:00:00:27,00:00:03:51,00:00:00:00,00:00:00:00,00:10:35:21,00:00:00:28,00:00:00:26,00:10:35:21,00:00:00:28,00:00:00:26,00:00:00:28,00:00:00:00,00:00:00:28,00:00:00:28,00:00:00:28,00:00:00:00,00:00:00:27,00:00:00:27,00:00:00:04,00:00:00:00,138224275811,102616388,102097073,19377156096,13658488294,14061499392,97 %,2 %,1 %,195319440,9895059999,0,0,0,
MA1600_paint_seamesremove_v006.nk,66db63737e6b4b9c2f4c0f7c,sujit.mule,,paint,pnewspt097,2024/09/07 1:47:55,2024/09/07 1:47:56,2024/09/07 1:52:04,2d_pool,2d_group,100,1001-1230,230,230,Nuke,1,626343,0,0,17,00:00:04:07,00:01:06:40,00:00:00:17,00:00:00:17,00:00:00:57,00:00:00:00,00:00:00:00,00:01:03:46,00:00:00:16,00:00:00:16,00:01:03:46,00:00:00:16,00:00:00:16,00:00:00:17,00:00:00:00,00:00:00:16,00:00:00:16,00:00:00:18,00:00:00:00,00:00:00:17,00:00:00:17,00:00:00:00,00:00:00:00,25116267558,109201163,108425907,11364261888,8956063643,9585462272,91 %,2 %,2 %,20564485,862951698,0,0,0,
MA1600_prep_seamsmarker_GRAINS_V01.nk,66db54be7e6b4b9c2f4c0dd1,abhishek.kandari,,,pnewspt101,2024/09/07 0:45:10,2024/09/07 0:45:10,2024/09/07 0:46:10,2d_pool,2d_group,100,1230-1310,81,81,Nuke,0,0,0,0,14,00:00:00:59,00:00:13:42,00:00:00:10,00:00:00:09,00:00:00:51,00:00:00:00,00:00:00:00,00:00:12:17,00:00:00:09,00:00:00:08,00:00:12:17,00:00:00:09,00:00:00:08,00:00:00:10,00:00:00:00,00:00:00:09,00:00:00:09,00:00:00:10,00:00:00:00,00:00:00:09,00:00:00:09,00:00:00:00,00:00:00:00,4638373917,57263875,57561837,2660073472,1106619704,1113061120,95 %,5 %,5 %,7360052,151734632,0,0,0,
MA1600_prep_seamsmarker_GRAINS_V01.nk,66db57977e6b4b9c2f4c0e74,abhishek.kandari,,,pnewspt101,2024/09/07 0:57:18,2024/09/07 0:57:19,2024/09/07 0:58:17,2d_pool,2d_group,100,1230-1310,81,81,Nuke,0,0,0,0,14,00:00:00:58,00:00:13:28,00:00:00:09,00:00:00:09,00:00:00:52,00:00:00:00,00:00:00:00,00:00:12:03,00:00:00:08,00:00:00:08,00:00:12:03,00:00:00:08,00:00:00:08,00:00:00:09,00:00:00:00,00:00:00:08,00:00:00:08,00:00:00:10,00:00:00:00,00:00:00:09,00:00:00:09,00:00:00:00,00:00:00:00,4638739161,57268384,57561837,2654957568,1134330999,1142033920,97 %,5 %,5 %,8553148,145454256,0,0,0,
MA1600_prep_seamsmarker_v010.nk,66db4e2f7e6b4b9c2f4c0d4f,abhishek.kandari,,,pnewspt101,2024/09/07 0:17:11,2024/09/07 0:18:11,2024/09/07 0:23:42,2d_pool,2d_group,100,1230-1310,81,81,Nuke,0,0,0,0,17,00:00:05:30,00:01:32:22,00:00:01:08,00:00:01:02,00:00:01:47,00:00:00:01,00:00:00:00,00:01:30:00,00:00:01:06,00:00:01:01,00:01:30:00,00:00:01:06,00:00:01:01,00:00:01:08,00:00:00:01,00:00:01:06,00:00:01:06,00:00:01:03,00:00:00:00,00:00:01:02,00:00:01:02,00:00:00:00,00:00:00:00,11429075101,141099692,141478406,22468452352,4913478343,4927880704,97 %,4 %,4 %,66988645,1560817750,0,0,0,
MA1600_prep_seamsmarker_v010.nk,66db52b07e6b4b9c2f4c0da3,abhishek.kandari,,,pnewspt101,2024/09/07 0:36:24,2024/09/07 0:36:24,2024/09/07 0:41:08,2d_pool,2d_group,100,1230-1310,81,81,Nuke,0,0,0,0,17,00:00:04:43,00:01:18:33,00:00:00:58,00:00:00:57,00:00:00:51,00:00:00:00,00:00:00:00,00:01:17:07,00:00:00:57,00:00:00:55,00:01:17:07,00:00:00:57,00:00:00:55,00:00:00:58,00:00:00:00,00:00:00:57,00:00:00:57,00:00:00:58,00:00:00:00,00:00:00:56,00:00:00:56,00:00:00:00,00:00:00:00,11428556528,141093290,141478406,22747668480,5247144419,5267791360,98 %,4 %,3 %,56862774,1315669886,0,0,0,
MA1600_prep_seamsmarker_v010.nk,66db56df7e6b4b9c2f4c0e52,abhishek.kandari,,,pnewspt101,2024/09/07 0:54:15,2024/09/07 0:54:16,2024/09/07 0:56:28,2d_pool,2d_group,100,1230-1310,81,81,Nuke,0,0,0,0,19,00:00:02:11,00:00:39:36,00:00:00:29,00:00:00:30,00:00:02:11,00:00:00:01,00:00:00:00,00:00:36:57,00:00:00:27,00:00:00:26,00:00:36:57,00:00:00:27,00:00:00:26,00:00:00:29,00:00:00:01,00:00:00:27,00:00:00:27,00:00:00:31,00:00:00:00,00:00:00:27,00:00:00:27,00:00:00:00,00:00:00:00,11412495557,140895006,141914423,7706730496,869377280,805859008,99 %,4 %,5 %,31009010,581619307,0,0,0,
