Job Name,Job ID,User Name,Comment,Department,Submit Machine,Submit Date Time,Start Date Time,Finish Date Time,Pool,Group,Priority,Frame List,Frame Count,Task Count,Plugin,Auxiliary Files,Auxiliary File Size (Bytes),Machine Limit,Error Count,Average Concurrent Tasks,Clock Render Time,Total Task Time,Average Task Time,Median Task Time,Total Task Startup Time,Average Task Startup Time,Median Task Startup Time,Total Task Render Time,Average Task Render Time,Median Task Render Time,Total Normalized Task Render Time,Average Normalized Task Render Time,Median Normalized Task Render Time,Average Frame Time,Average Frame Startup Time,Average Frame Render Time,Average Normalized Frame Render Time,Median Frame Time,Median Frame Startup Time,Median Frame Render Time,Median Normalized Frame Render Time,Wasted Error Time,Wasted Requeue Time,Total Output File Size (Bytes),Average Output File Size (Bytes),Median Output File Size (Bytes),Peak RAM Usage (Bytes),Average RAM Usage (Bytes),Median RAM Usage (Bytes),Peak CPU Usage,Average CPU Usage,Median CPU Usage,Used CPU Clocks,Total CPU Clocks,Peak Swap Usage (Bytes),Average Swap Usage (Bytes),Median Swap Usage (Bytes)
305_01_amc_0180_prep_SR_v012.nk,66e10a1d7e6b4b9c2f4c5499,akshay.basarge,,,pnewspt087.basilic.com,2024/09/11 8:40:20,2024/09/11 8:40:21,2024/09/11 8:41:50,2d_pool,2d_group,50,1017-1243,227,23,Nuke,1,1008561,0,0,15,00:00:01:29,00:00:21:19,00:00:00:55,00:00:01:03,00:00:00:56,00:00:00:02,00:00:00:02,00:00:20:20,00:00:00:53,00:00:01:00,00:00:20:20,00:00:00:53,00:00:01:00,00:00:00:05,00:00:00:00,00:00:00:05,00:00:00:05,00:00:00:07,00:00:00:01,00:00:00:07,00:00:00:07,00:00:00:00,00:00:00:00,0,0,0,1384292352,686790941,557839488,68 %,3 %,3 %,8587553,350998254,0,0,0
305_01_amc_0180_prep_SR_v012.nk,66e11dd37e6b4b9c2f4c5563,akshay.basarge,,,pnewspt087.basilic.com,2024/09/11 10:04:27,2024/09/11 10:04:28,2024/09/11 10:05:58,2d_pool,2d_group,50,1017-1243,227,23,Nuke,1,1275193,0,0,13,00:00:01:29,00:00:19:18,00:00:00:50,00:00:00:51,00:00:01:09,00:00:00:03,00:00:00:02,00:00:18:07,00:00:00:47,00:00:00:48,00:00:18:07,00:00:00:47,00:00:00:48,00:00:00:05,00:00:00:00,00:00:00:04,00:00:00:04,00:00:00:06,00:00:00:01,00:00:00:05,00:00:00:05,00:00:00:00,00:00:00:00,0,0,0,5825445888,2222518199,1760395520,97 %,7 %,6 %,20475222,311077645,0,0,0
305_01_amc_0180_prep_SR_v015.nk,66e1728e7e6b4b9c2f4c5915,akshay.basarge,,,pnewspt087.basilic.com,2024/09/11 16:05:57,2024/09/11 16:05:58,2024/09/11 16:09:01,2d_pool,2d_group,50,1017-1243,227,23,Nuke,1,1854211,0,0,15,00:00:03:03,00:00:44:13,00:00:01:55,00:00:02:05,00:00:00:55,00:00:00:02,00:00:00:02,00:00:43:15,00:00:01:52,00:00:02:02,00:00:43:15,00:00:01:52,00:00:02:02,00:00:00:11,00:00:00:00,00:00:00:11,00:00:00:11,00:00:00:13,00:00:00:01,00:00:00:13,00:00:00:13,00:00:00:00,00:00:00:00,0,0,0,7081115648,3144343051,2894747904,80 %,4 %,4 %,33385751,772911131,0,0,0
305_01_amc_0180_prep_staircase_v006.nk,66e1212c7e6b4b9c2f4c55a7,lalith.thatikonda,,,pnewspt102,2024/09/11 10:18:44,2024/09/11 10:18:47,2024/09/11 10:21:09,2d_pool,2d_group,100,1017-1243,227,114,Nuke,1,57781044,0,0,19,00:00:02:21,00:00:43:50,00:00:00:23,00:00:00:17,00:00:02:51,00:00:00:01,00:00:00:00,00:00:40:18,00:00:00:21,00:00:00:16,00:00:40:18,00:00:00:21,00:00:00:16,00:00:00:11,00:00:00:00,00:00:00:10,00:00:00:10,00:00:00:09,00:00:00:00,00:00:00:09,00:00:00:09,00:00:00:00,00:00:00:00,8263454093,72486439,74485802,8688275456,3972950642,4722614784,99 %,27 %,26 %,124478943,600196269,0,0,0
305_01_amc_0180_prep_staircase_v006.nk,66e157017e6b4b9c2f4c57e6,lalith.thatikonda,,,pnewspt102,2024/09/11 14:08:25,2024/09/11 14:08:43,2024/09/11 14:11:10,2d_pool,2d_group,100,1240-1243,4,4,Nuke,1,59605510,0,0,4,00:00:02:27,00:00:07:27,00:00:01:51,00:00:01:59,00:00:00:20,00:00:00:05,00:00:00:06,00:00:07:07,00:00:01:46,00:00:01:55,00:00:07:07,00:00:01:46,00:00:01:55,00:00:01:51,00:00:00:05,00:00:01:46,00:00:01:46,00:00:02:00,00:00:00:07,00:00:01:56,00:00:01:56,00:00:00:00,00:00:00:00,151876743,37969185,38069751,9002348544,3030735680,3277053440,97 %,5 %,7 %,7096600,131830300,0,0,0
305_01_amc_0180_prep_staircase_v006.nk,66e1447f7e6b4b9c2f4c56f0,lalith.thatikonda,,,pnewspt102,2024/09/11 12:49:27,2024/09/11 12:49:29,2001/01/01 0:00:00,2d_pool,2d_group,80,1100-1243,144,72,Nuke,1,59605510,0,100,0,00:00:00:00,00:00:41:44,00:00:00:34,00:00:00:18,00:00:11:40,00:00:00:09,00:00:00:00,00:00:29:36,00:00:00:24,00:00:00:17,00:00:29:36,00:00:00:24,00:00:00:17,00:00:00:17,00:00:00:04,00:00:00:12,00:00:00:12,00:00:00:10,00:00:00:00,00:00:00:09,00:00:00:09,00:00:35:31,00:00:00:00,5250534587,72924091,75037101,12442099712,6188758027,7281910784,99 %,31 %,38 %,116334305,642741134,0,0,0
305_31_den_0200_prep_Removematt_kickbackplatenew_v001.%04d_,66e1bdc67e6b4b9c2f4c5e09,mustak.ahamad,None,,pnewspt099.basilic.com,2024/09/11 21:26:54,2024/09/11 21:29:01,2024/09/11 21:29:49,2d_pool,2d_group,50,1017-1067,51,1,Nuke,1,3960,0,0,1,00:00:00:48,00:00:00:48,00:00:00:48,00:00:00:48,00:00:00:02,00:00:00:02,00:00:00:02,00:00:00:45,00:00:00:45,00:00:00:45,00:00:00:45,00:00:00:45,00:00:00:45,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:00,00:00:00:00,0,0,0,568598528,306774016,306774016,2 %,1 %,1 %,138252,13825152,0,0,0
305_31_den_0200_prep_Removematt_kickbackplatenew_v001_,66e1bdc97e6b4b9c2f4c5e0a,mustak.ahamad,None,,pnewspt099.basilic.com,2024/09/11 21:26:57,2024/09/11 21:30:05,2024/09/11 21:30:19,2d_pool,2d_group,50,1017-1067,51,1,Nuke,1,8883,0,0,1,00:00:00:14,00:00:00:14,00:00:00:14,00:00:00:14,00:00:00:02,00:00:00:02,00:00:00:02,00:00:00:11,00:00:00:11,00:00:00:11,00:00:00:11,00:00:00:11,00:00:00:11,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:00,00:00:00:00,0,0,0,1139548160,693063232,693063232,42 %,17 %,17 %,380870,2240410,0,0,0
305_31_den_0200_prep_Removematt_removedflopmatt_v010.%04d_,66e1a84a7e6b4b9c2f4c5d02,mustak.ahamad,None,,pnewspt099.basilic.com,2024/09/11 19:55:14,2024/09/11 19:56:38,2024/09/11 19:57:11,2d_pool,2d_group,50,1017-1067,51,1,Nuke,1,3946,0,0,1,00:00:00:32,00:00:00:32,00:00:00:32,00:00:00:32,00:00:00:02,00:00:00:02,00:00:00:02,00:00:00:29,00:00:00:29,00:00:00:29,00:00:00:29,00:00:00:29,00:00:00:29,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:00,00:00:00:00,0,0,0,565522432,478161056,478161056,8 %,3 %,3 %,266388,8879587,0,0,0
305_31_den_0200_prep_Removematt_removedflopmatt_v010_,66e1a84d7e6b4b9c2f4c5d03,mustak.ahamad,None,,pnewspt099.basilic.com,2024/09/11 19:55:17,2024/09/11 19:57:42,2024/09/11 19:57:58,2d_pool,2d_group,50,1017-1067,51,1,Nuke,1,8869,0,0,1,00:00:00:15,00:00:00:15,00:00:00:15,00:00:00:15,00:00:00:02,00:00:00:02,00:00:00:02,00:00:00:12,00:00:00:12,00:00:00:12,00:00:00:12,00:00:00:12,00:00:00:12,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:00,00:00:00:00,0,0,0,1150054400,562442688,562442688,62 %,16 %,16 %,361812,2261319,0,0,0
305_31_den_0200_prep_Removematt_removedflopmatt_v011.%04d_,66e1d0397e6b4b9c2f4c5ee9,mustak.ahamad,None,,pnewspt099.basilic.com,2024/09/11 22:45:36,2024/09/11 22:47:45,2024/09/11 22:48:17,2d_pool,2d_group,50,1017-1067,51,1,Nuke,1,3946,0,0,1,00:00:00:32,00:00:00:32,00:00:00:32,00:00:00:32,00:00:00:02,00:00:00:02,00:00:00:02,00:00:00:29,00:00:00:29,00:00:00:29,00:00:00:29,00:00:00:29,00:00:00:29,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:00,00:00:00:00,0,0,0,567738368,485408768,485408768,7 %,2 %,2 %,177776,8888775,0,0,0
305_31_den_0200_prep_Removematt_removedflopmatt_v011_,66e1d03c7e6b4b9c2f4c5eea,mustak.ahamad,None,,pnewspt099.basilic.com,2024/09/11 22:45:40,2024/09/11 22:48:48,2024/09/11 22:49:05,2d_pool,2d_group,50,1017-1067,51,1,Nuke,1,8869,0,0,1,00:00:00:17,00:00:00:17,00:00:00:17,00:00:00:17,00:00:00:02,00:00:00:02,00:00:00:02,00:00:00:14,00:00:00:14,00:00:00:14,00:00:00:14,00:00:00:14,00:00:00:14,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:00,00:00:00:00,0,0,0,1132892160,548300416,548300416,63 %,11 %,11 %,426366,3876048,0,0,0
305_31_den_0200_prep_Removematt_v022.nk,66e179c07e6b4b9c2f4c5a02,mustak.ahamad,,,pnewspt099.basilic.com,2024/09/11 16:36:40,2024/09/11 16:36:40,2024/09/11 16:37:28,2d_pool,2d_group,50,1017-1067,51,6,Nuke,1,7412662,0,0,5,00:00:00:47,00:00:03:28,00:00:00:34,00:00:00:37,00:00:00:20,00:00:00:03,00:00:00:03,00:00:03:08,00:00:00:31,00:00:00:34,00:00:03:08,00:00:00:31,00:00:00:34,00:00:00:04,00:00:00:00,00:00:00:03,00:00:00:03,00:00:00:04,00:00:00:01,00:00:00:04,00:00:00:04,00:00:00:00,00:00:00:00,0,0,0,2994106368,924645536,1046821440,67 %,2 %,1 %,1292170,51027899,0,0,0
305_31_den_0200_prep_Removematt_v022.nk,66e186b27e6b4b9c2f4c5adc,mustak.ahamad,,,pnewspt099.basilic.com,2024/09/11 17:31:54,2024/09/11 17:31:55,2024/09/11 17:33:01,2d_pool,2d_group,50,1017-1067,51,6,Nuke,1,7412767,0,0,4,00:00:01:06,00:00:04:03,00:00:00:40,00:00:00:46,00:00:00:17,00:00:00:02,00:00:00:02,00:00:03:45,00:00:00:37,00:00:00:43,00:00:03:45,00:00:00:37,00:00:00:43,00:00:00:04,00:00:00:00,00:00:00:04,00:00:00:04,00:00:00:05,00:00:00:01,00:00:00:05,00:00:00:05,00:00:00:00,00:00:00:00,0,0,0,2988691456,927450272,1064100416,81 %,3 %,2 %,1521012,59258603,0,0,0
305_31_den_0200_prep_Removematt_v023.nk,66e1a83a7e6b4b9c2f4c5cfb,mustak.ahamad,,,pnewspt099.basilic.com,2024/09/11 19:54:58,2024/09/11 19:54:59,2024/09/11 19:56:07,2d_pool,2d_group,50,1017-1067,51,6,Nuke,1,7475447,0,0,5,00:00:01:08,00:00:05:13,00:00:00:52,00:00:00:58,00:00:00:18,00:00:00:03,00:00:00:03,00:00:04:55,00:00:00:49,00:00:00:55,00:00:04:55,00:00:00:49,00:00:00:55,00:00:00:06,00:00:00:00,00:00:00:05,00:00:00:05,00:00:00:06,00:00:00:01,00:00:00:06,00:00:00:06,00:00:00:00,00:00:00:00,0,0,0,7318495232,1624456853,2012727936,43 %,2 %,2 %,1837041,84997440,0,0,0
305_31_den_0200_prep_Removematt_v024.nk,66e1bdae7e6b4b9c2f4c5e00,mustak.ahamad,,,pnewspt099.basilic.com,2024/09/11 21:26:30,2024/09/11 21:26:31,2024/09/11 21:27:58,2d_pool,2d_group,50,1017-1067,51,6,Nuke,1,7252187,0,0,5,00:00:01:27,00:00:06:51,00:00:01:08,00:00:01:16,00:00:00:18,00:00:00:03,00:00:00:03,00:00:06:33,00:00:01:05,00:00:01:13,00:00:06:33,00:00:01:05,00:00:01:13,00:00:00:08,00:00:00:00,00:00:00:07,00:00:00:07,00:00:00:08,00:00:00:01,00:00:00:08,00:00:00:08,00:00:00:00,00:00:00:00,0,0,0,8284078080,2343728032,2670354432,99 %,15 %,21 %,19157655,111150654,0,0,0
305_31_den_0200_prep_Removematt_v025.nk,66e1d0237e6b4b9c2f4c5ee2,mustak.ahamad,,,pnewspt099.basilic.com,2024/09/11 22:45:15,2024/09/11 22:45:16,2024/09/11 22:46:50,2d_pool,2d_group,50,1017-1067,51,6,Nuke,1,7413072,0,0,5,00:00:01:34,00:00:07:37,00:00:01:16,00:00:01:24,00:00:00:17,00:00:00:02,00:00:00:02,00:00:07:19,00:00:01:13,00:00:01:21,00:00:07:19,00:00:01:13,00:00:01:21,00:00:00:08,00:00:00:00,00:00:00:08,00:00:00:08,00:00:00:09,00:00:00:01,00:00:00:09,00:00:00:09,00:00:00:00,00:00:00:00,0,0,0,7096471552,1362768170,1515519744,35 %,2 %,2 %,2430664,130019788,0,0,0
306_43_sdh_0140_paint_v015.nk,66e19d307e6b4b9c2f4c5c24,sudarshan.kale,,,pnewspt081,2024/09/11 19:07:51,2024/09/11 19:07:52,2024/09/11 19:16:16,2d_pool,2d_group,1,1001-1177,177,177,Nuke,1,14090888,0,2,8,00:00:08:23,00:00:59:41,00:00:00:20,00:00:00:18,00:00:02:51,00:00:00:00,00:00:00:00,00:00:55:27,00:00:00:18,00:00:00:17,00:00:55:27,00:00:00:18,00:00:00:17,00:00:00:20,00:00:00:00,00:00:00:18,00:00:00:18,00:00:00:19,00:00:00:00,00:00:00:18,00:00:00:18,00:00:01:10,00:00:00:00,8985615638,50766190,50782639,11181047808,560018148,449011712,89 %,1 %,1 %,13419419,804845671,0,0,0
306_43_sdh_0140_paint_v015.nk,66e1ac597e6b4b9c2f4c5d28,sudarshan.kale,,,pnewspt081,2024/09/11 20:12:33,2024/09/11 20:12:34,2024/09/11 20:15:59,2d_pool,2d_group,1,1001-1177,177,177,Nuke,1,14253776,0,0,17,00:00:03:24,00:00:55:56,00:00:00:18,00:00:00:17,00:00:01:00,00:00:00:00,00:00:00:00,00:00:53:28,00:00:00:18,00:00:00:16,00:00:53:28,00:00:00:18,00:00:00:16,00:00:00:18,00:00:00:00,00:00:00:18,00:00:00:18,00:00:00:18,00:00:00:00,00:00:00:17,00:00:00:17,00:00:00:00,00:00:00:00,8988193783,50780755,50786462,10181746688,516782889,438419872,87 %,1 %,1 %,11060594,774431531,0,0,0
