Job Name,Job ID,User Name,Comment,Department,Submit Machine,Submit Date Time,Start Date Time,Finish Date Time,Pool,Group,Priority,Frame List,Frame Count,Task Count,Plugin,Extra Info 0,Extra Info 1,Extra Info 2,Extra Info 3,Extra Info 4,Extra Info 5,Extra Info 6,Extra Info 7,Extra Info 8,Extra Info 9,Auxiliary Files,Auxiliary File Size (Bytes),Machine Limit,Error Count,Average Concurrent Tasks,Clock Render Time,Total Task Time,Average Task Time,Median Task Time,Total Task Startup Time,Average Task Startup Time,Median Task Startup Time,Total Task Render Time,Average Task Render Time,Median Task Render Time,Total Normalized Task Render Time,Average Normalized Task Render Time,Median Normalized Task Render Time,Average Frame Time,Average Frame Startup Time,Average Frame Render Time,Average Normalized Frame Render Time,Median Frame Time,Median Frame Startup Time,Median Frame Render Time,Median Normalized Frame Render Time,Wasted Error Time,Wasted Requeue Time,Total Output File Size (Bytes),Average Output File Size (Bytes),Median Output File Size (Bytes),Peak RAM Usage (Bytes),Average RAM Usage (Bytes),Median RAM Usage (Bytes),Peak CPU Usage,Average CPU Usage,Median CPU Usage,Used CPU Clocks,Total CPU Clocks,Peak Swap Usage (Bytes),Average Swap Usage (Bytes),Median Swap Usage (Bytes)
301_06_whf_0495_prep_positionmatchmiddlechunk_prepchunk_v001.%04d_,66e333687e6b4b9c2f4c7347,mustak.ahamad,None,,pnewspt099.basilic.com,2024/09/13 0:01:04,2024/09/13 0:02:38,2024/09/13 0:03:01,2d_pool,2d_group,50,1017-1051,35,1,Nuke,,,,,,,,,,,1,4058,0,0,1,00:00:00:23,00:00:00:23,00:00:00:23,00:00:00:23,00:00:00:03,00:00:00:03,00:00:00:03,00:00:00:19,00:00:00:19,00:00:00:19,00:00:00:19,00:00:00:19,00:00:00:19,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:00,00:00:00:00,0,0,0,565899264,470830720,470830720,6 %,2 %,2 %,111311,5565543,0,0,0
301_06_whf_0495_prep_positionmatchmiddlechunk_prepchunk_v001_,66e3336c7e6b4b9c2f4c7349,mustak.ahamad,None,,pnewspt099.basilic.com,2024/09/13 0:01:08,2024/09/13 0:03:39,2024/09/13 0:03:54,2d_pool,2d_group,50,1017-1051,35,1,Nuke,,,,,,,,,,,1,9012,0,0,1,00:00:00:14,00:00:00:14,00:00:00:14,00:00:00:14,00:00:00:02,00:00:00:02,00:00:00:02,00:00:00:11,00:00:00:11,00:00:00:11,00:00:00:11,00:00:00:11,00:00:00:11,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:00,00:00:00:00,0,0,0,1109098496,507501696,507501696,41 %,7 %,7 %,106431,1520429,0,0,0
301_06_whf_0495_prep_positionmatchmiddlechunk_prepchunk_v002.%04d_,66e354217e6b4b9c2f4c74b2,mustak.ahamad,None,,pnewspt099.basilic.com,2024/09/13 2:20:41,2024/09/13 2:22:03,2024/09/13 2:22:26,2d_pool,2d_group,50,1017-1051,35,1,Nuke,,,,,,,,,,,1,4058,0,0,1,00:00:00:22,00:00:00:22,00:00:00:22,00:00:00:22,00:00:00:02,00:00:00:02,00:00:00:02,00:00:00:19,00:00:00:19,00:00:00:19,00:00:00:19,00:00:00:19,00:00:00:19,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:00,00:00:00:00,0,0,0,565833728,461154496,461154496,11 %,3 %,3 %,167794,5593104,0,0,0
301_06_whf_0495_prep_positionmatchmiddlechunk_prepchunk_v002_,66e354247e6b4b9c2f4c74b3,mustak.ahamad,None,,pnewspt099.basilic.com,2024/09/13 2:20:44,2024/09/13 2:23:06,2024/09/13 2:23:41,2d_pool,2d_group,50,1017-1051,35,1,Nuke,,,,,,,,,,,1,9012,0,0,1,00:00:00:34,00:00:00:34,00:00:00:34,00:00:00:34,00:00:00:02,00:00:00:02,00:00:00:02,00:00:00:31,00:00:00:31,00:00:00:31,00:00:00:31,00:00:00:31,00:00:00:31,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:00,00:00:00:00,0,0,0,1106956288,273294560,273294560,18 %,2 %,2 %,177149,8857412,0,0,0
301_06_whf_0495_prep_positionmatchmiddlechunk_v001.nk,66e3335e7e6b4b9c2f4c7340,mustak.ahamad,,,pnewspt099.basilic.com,2024/09/13 0:00:54,2024/09/13 0:00:55,2024/09/13 0:01:37,2d_pool,2d_group,50,1017-1051,35,4,Nuke,,,,,,,,,,,1,837386,0,0,4,00:00:00:42,00:00:02:25,00:00:00:36,00:00:00:36,00:00:00:11,00:00:00:02,00:00:00:03,00:00:02:13,00:00:00:33,00:00:00:33,00:00:02:13,00:00:00:33,00:00:00:33,00:00:00:04,00:00:00:00,00:00:00:03,00:00:00:03,00:00:00:04,00:00:00:01,00:00:00:04,00:00:00:04,00:00:00:00,00:00:00:00,0,0,0,3273973760,743075216,722963200,44 %,2 %,2 %,856987,35728388,0,0,0
301_06_whf_0495_prep_positionmatchmiddlechunk_v004.nk,66e3540d7e6b4b9c2f4c74ad,mustak.ahamad,,,pnewspt099.basilic.com,2024/09/13 2:20:21,2024/09/13 2:20:21,2024/09/13 2:21:33,2d_pool,2d_group,50,1017-1051,35,4,Nuke,,,,,,,,,,,1,1038511,0,0,3,00:00:01:11,00:00:03:29,00:00:00:52,00:00:00:55,00:00:00:12,00:00:00:03,00:00:00:03,00:00:03:17,00:00:00:49,00:00:00:52,00:00:03:17,00:00:00:49,00:00:00:52,00:00:00:05,00:00:00:00,00:00:00:05,00:00:00:05,00:00:00:06,00:00:00:01,00:00:00:06,00:00:00:06,00:00:00:00,00:00:00:00,0,0,0,4933976064,764337872,824470528,11 %,1 %,1 %,568560,56855852,0,0,0
301_06_whf_0495_prep_Removematt_kickbackwithgrain_v001.%04d_,66e468dd7e6b4b9c2f4c8281,mustak.ahamad,None,,pnewspt099.basilic.com,2024/09/13 22:01:25,2024/09/13 22:06:05,2024/09/13 22:06:32,2d_pool,2d_group,50,1017-1045,29,1,Nuke,,,,,,,,,,,1,3974,0,0,1,00:00:00:26,00:00:00:26,00:00:00:26,00:00:00:26,00:00:00:03,00:00:00:03,00:00:00:03,00:00:00:23,00:00:00:23,00:00:00:23,00:00:00:23,00:00:00:23,00:00:00:23,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:00,00:00:00:00,0,0,0,564469760,305598080,305598080,9 %,2 %,2 %,112610,5630487,0,0,0
301_06_whf_0495_prep_Removematt_kickbackwithgrain_v001_,66e468e27e6b4b9c2f4c8282,mustak.ahamad,None,,pnewspt099.basilic.com,2024/09/13 22:01:29,2024/09/13 22:07:09,2024/09/13 22:07:26,2d_pool,2d_group,50,1017-1045,29,1,Nuke,,,,,,,,,,,1,8901,0,0,1,00:00:00:17,00:00:00:17,00:00:00:17,00:00:00:17,00:00:00:03,00:00:00:03,00:00:00:03,00:00:00:14,00:00:00:14,00:00:00:14,00:00:00:14,00:00:00:14,00:00:00:14,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:00,00:00:00:00,0,0,0,1040924672,380973888,380973888,59 %,7 %,7 %,277555,3965069,0,0,0
304_32_mvf_0030_prep_scfloorreflection_v011.nk,66e32a087e6b4b9c2f4c728a,suraj.hajare,,,pnewspt104,2024/09/12 23:21:04,2024/09/12 23:21:05,2001/01/01 0:00:00,2d_pool,2d_group,100,1001-1322,322,322,Nuke,,,,,,,,,,,0,0,0,130,0,00:00:00:00,00:00:12:25,00:00:00:02,00:00:00:00,00:00:01:44,00:00:00:00,00:00:00:00,00:00:10:31,00:00:00:01,00:00:00:00,00:00:10:31,00:00:00:01,00:00:00:00,00:00:00:02,00:00:00:00,00:00:00:01,00:00:00:01,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:39:53,00:00:02:50,984831146,3058481,0,10237763584,149897070,0,75 %,0 %,0 %,4389299,172870255,0,0,0
304_50_mvf_0060_prep_srcameracew_bggraound_v008.%04d_,66e4035f7e6b4b9c2f4c7d95,suraj.umbarkar,None,,pnewspt104.basilic.com,2024/09/13 14:48:23,2024/09/13 14:50:35,2024/09/13 14:51:48,2d_pool,2d_group,50,1017-1121,105,1,Nuke,,,,,,,,,,,1,3912,0,0,1,00:00:01:12,00:00:01:12,00:00:01:12,00:00:01:12,00:00:00:03,00:00:00:03,00:00:00:03,00:00:01:09,00:00:01:09,00:00:01:09,00:00:01:09,00:00:01:09,00:00:01:09,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:00,00:00:00:00,0,0,0,525852672,377281344,377281344,7 %,2 %,2 %,413938,20696860,0,0,0
304_50_mvf_0060_prep_srcameracew_bggraound_v008_,66e403667e6b4b9c2f4c7d96,suraj.umbarkar,None,,pnewspt104.basilic.com,2024/09/13 14:48:30,2024/09/13 14:52:43,2024/09/13 14:53:09,2d_pool,2d_group,50,1017-1121,105,1,Nuke,,,,,,,,,,,1,8787,0,0,1,00:00:00:26,00:00:00:26,00:00:00:26,00:00:00:26,00:00:00:02,00:00:00:02,00:00:00:02,00:00:00:23,00:00:00:23,00:00:00:23,00:00:00:23,00:00:00:23,00:00:00:23,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:00,00:00:00:00,0,0,0,1026355200,433841632,433841632,47 %,7 %,7 %,391740,5596272,0,0,0
304_50_mvf_0060_prep_srcameracew_bggraound_v009.%04d_,66e4040b7e6b4b9c2f4c7dac,suraj.umbarkar,None,,pnewspt104.basilic.com,2024/09/13 14:51:15,2024/09/13 14:55:54,2024/09/13 14:57:07,2d_pool,2d_group,50,1017-1121,105,1,Nuke,,,,,,,,,,,1,3884,0,0,1,00:00:01:13,00:00:01:13,00:00:01:13,00:00:01:13,00:00:00:02,00:00:00:02,00:00:00:02,00:00:01:10,00:00:01:10,00:00:01:10,00:00:01:10,00:00:01:10,00:00:01:10,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:00,00:00:00:00,0,0,0,527310848,340649152,340649152,2 %,1 %,1 %,204881,20488090,0,0,0
304_50_mvf_0060_prep_srcameracew_bggraound_v009_,66e404107e6b4b9c2f4c7dad,suraj.umbarkar,None,,pnewspt104.basilic.com,2024/09/13 14:51:20,2024/09/13 14:58:03,2024/09/13 14:58:39,2d_pool,2d_group,50,1017-1121,105,1,Nuke,,,,,,,,,,,1,8787,0,0,1,00:00:00:36,00:00:00:36,00:00:00:36,00:00:00:36,00:00:00:02,00:00:00:02,00:00:00:02,00:00:00:33,00:00:00:33,00:00:00:33,00:00:00:33,00:00:00:33,00:00:00:33,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:00,00:00:00:00,0,0,0,1024471040,462303232,462303232,32 %,5 %,5 %,450411,9008208,0,0,0
