Job Name,Job ID,User Name,Comment,Department,Submit Machine,Submit Date Time,Start Date Time,Finish Date Time,Pool,Group,Priority,Frame List,Frame Count,Task Count,Plugin,Auxiliary Files,Auxiliary File Size (Bytes),Machine Limit,Error Count,Average Concurrent Tasks,Clock Render Time,Total Task Time,Average Task Time,Median Task Time,Total Task Startup Time,Average Task Startup Time,Median Task Startup Time,Total Task Render Time,Average Task Render Time,Median Task Render Time,Total Normalized Task Render Time,Average Normalized Task Render Time,Median Normalized Task Render Time,Average Frame Time,Average Frame Startup Time,Average Frame Render Time,Average Normalized Frame Render Time,Median Frame Time,Median Frame Startup Time,Median Frame Render Time,Median Normalized Frame Render Time,Wasted Error Time,Wasted Requeue Time,Total Output File Size (Bytes),Average Output File Size (Bytes),Median Output File Size (Bytes),Peak RAM Usage (Bytes),Average RAM Usage (Bytes),Median RAM Usage (Bytes),Peak CPU Usage,Average CPU Usage,Median CPU Usage,Used CPU Clocks,Total CPU Clocks,Peak Swap Usage (Bytes),Average Swap Usage (Bytes),Median Swap Usage (Bytes)
301_13_taf_0467_bg_track_v0017.nk,66d841e47e6b4b9c2f4bdc69,suraj.umbarkar,,,pnewspt105,2024/09/04 16:47:56,2024/09/04 16:48:15,2024/09/04 16:48:51,2d_pool,2d_group,100,1072-1076,5,5,Nuke,0,0,0,0,5,00:00:00:36,00:00:02:48,00:00:00:33,00:00:00:33,00:00:00:14,00:00:00:02,00:00:00:02,00:00:02:33,00:00:00:30,00:00:00:30,00:00:02:33,00:00:00:30,00:00:00:30,00:00:00:33,00:00:00:02,00:00:00:30,00:00:00:30,00:00:00:34,00:00:00:03,00:00:00:31,00:00:00:31,00:00:00:00,00:00:00:00,554937773,110987554,110979000,14175588352,4742985062,4837436928,95 %,10 %,12 %,4445470,42503156,0,0,0
301_13_taf_0467_bg_track_v0017.nk,66d835787e6b4b9c2f4bdb6c,suraj.umbarkar,,,pnewspt105,2024/09/04 15:54:56,2024/09/04 15:54:57,2001/01/01 0:00:00,2d_pool,2d_group,100,1017-1081,65,13,Nuke,0,0,0,6,0,00:00:00:00,00:00:24:27,00:00:01:52,00:00:01:53,00:00:00:33,00:00:00:02,00:00:00:02,00:00:23:54,00:00:01:50,00:00:01:50,00:00:23:54,00:00:01:50,00:00:01:50,00:00:00:22,00:00:00:00,00:00:00:22,00:00:00:22,00:00:00:23,00:00:00:01,00:00:00:23,00:00:00:23,00:00:07:38,00:00:01:57,6625143769,509626443,551842351,29955366912,10762771140,11769040896,99 %,7 %,8 %,36227889,434120528,0,0,0
301_13_taf_0467_bg_track_v0017.nk,66d839717e6b4b9c2f4bdbb3,suraj.umbarkar,,,pnewspt105,2024/09/04 16:11:53,2024/09/04 16:11:53,2001/01/01 0:00:00,2d_pool,2d_group,100,1017-1081,65,13,Nuke,0,0,0,24,0,00:00:00:00,00:00:17:45,00:00:01:21,00:00:01:28,00:00:00:29,00:00:00:02,00:00:00:02,00:00:17:15,00:00:01:19,00:00:01:25,00:00:17:15,00:00:01:19,00:00:01:25,00:00:00:16,00:00:00:00,00:00:00:15,00:00:00:15,00:00:00:18,00:00:00:01,00:00:00:18,00:00:00:18,00:00:35:59,00:01:13:15,6070193643,466937972,551315740,29804945408,11236332465,12411272192,98 %,7 %,10 %,27709619,315242610,0,0,0
301_13_taf_0467_bg_track_v0017.nk,66d842047e6b4b9c2f4bdc70,suraj.umbarkar,,,pnewspt105,2024/09/04 16:48:28,2024/09/04 16:48:45,2024/09/04 16:49:51,2d_pool,2d_group,100,1057-1061,5,5,Nuke,0,0,0,1,4,00:00:01:05,00:00:03:21,00:00:00:40,00:00:00:35,00:00:00:35,00:00:00:07,00:00:00:02,00:00:02:45,00:00:00:33,00:00:00:32,00:00:02:45,00:00:00:33,00:00:00:32,00:00:00:40,00:00:00:07,00:00:00:33,00:00:00:33,00:00:00:36,00:00:00:03,00:00:00:33,00:00:00:33,00:00:00:31,00:00:00:00,555053580,111010716,110983938,15458172928,5072082790,5211108352,98 %,10 %,10 %,4359455,44235419,0,0,0
305_31_den_0200_prep_Removematt_v010.nk,66d841477e6b4b9c2f4bdc5d,mustak.ahamad,,,pnewspt104.basilic.com,2024/09/04 16:45:19,2024/09/04 16:47:15,2024/09/04 16:48:30,2d_pool,2d_group,100,1017-1067,51,6,Nuke,1,2619283,0,0,5,00:00:01:14,00:00:05:15,00:00:00:52,00:00:01:02,00:00:00:34,00:00:00:05,00:00:00:05,00:00:04:41,00:00:00:46,00:00:00:56,00:00:04:41,00:00:00:46,00:00:00:56,00:00:00:06,00:00:00:00,00:00:00:05,00:00:00:05,00:00:00:07,00:00:00:01,00:00:00:06,00:00:00:06,00:00:00:00,00:00:00:00,0,0,0,2875916288,691971632,654182400,14 %,1 %,1 %,762213,76221023,0,0,0
305_31_den_0200_prep_Removematt_v010.nk,66d864b37e6b4b9c2f4bdefd,mustak.ahamad,,,pnewspt104.basilic.com,2024/09/04 19:16:26,2024/09/04 19:16:28,2024/09/04 19:17:23,2d_pool,2d_group,50,1017-1067,51,6,Nuke,1,3929716,0,0,5,00:00:00:55,00:00:04:15,00:00:00:42,00:00:00:52,00:00:00:16,00:00:00:02,00:00:00:02,00:00:03:58,00:00:00:39,00:00:00:49,00:00:03:58,00:00:00:39,00:00:00:49,00:00:00:05,00:00:00:00,00:00:00:04,00:00:00:04,00:00:00:06,00:00:00:01,00:00:00:05,00:00:00:05,00:00:00:00,00:00:00:00,0,0,0,5871632384,931990362,823049472,25 %,1 %,1 %,883504,64391574,0,0,0
305_31_den_0240_prep_floormat_v009.nk,66d7ec037e6b4b9c2f4bd80e,lalith.thatikonda,,,pnewspt091,2024/09/04 10:41:31,2024/09/04 10:41:31,2024/09/04 10:42:26,2d_pool,2d_group,50,1017-1057,41,21,Nuke,1,3716518,0,0,15,00:00:00:54,00:00:13:31,00:00:00:38,00:00:00:41,00:00:00:55,00:00:00:02,00:00:00:02,00:00:12:35,00:00:00:35,00:00:00:38,00:00:12:35,00:00:00:35,00:00:00:38,00:00:00:19,00:00:00:01,00:00:00:18,00:00:00:18,00:00:00:21,00:00:00:02,00:00:00:20,00:00:00:20,00:00:00:00,00:00:00:00,1132153325,53912063,62123597,4453756928,708410043,474076000,39 %,1 %,1 %,2600635,189871364,0,0,0
305_31_den_0240_prep_wireremovel_v003.nk,66d7f28d7e6b4b9c2f4bd884,prashant.padvi,,,pnewspt086,2024/09/04 11:09:25,2024/09/04 11:09:25,2024/09/04 11:10:19,2d_pool,2d_group,100,1017-1057,41,41,Nuke,0,0,0,0,13,00:00:00:53,00:00:11:31,00:00:00:16,00:00:00:16,00:00:00:51,00:00:00:01,00:00:00:00,00:00:10:27,00:00:00:15,00:00:00:14,00:00:10:27,00:00:00:15,00:00:00:14,00:00:00:16,00:00:00:01,00:00:00:15,00:00:00:15,00:00:00:17,00:00:00:00,00:00:00:15,00:00:00:15,00:00:00:00,00:00:00:00,1304953356,31828130,31651915,2826981376,524579697,532600416,55 %,2 %,2 %,3518745,157425128,0,0,0
305_31_den_0240_prep_wireremovel_v004.nk,66d8368c7e6b4b9c2f4bdb85,prashant.padvi,,,pnewspt086,2024/09/04 15:59:32,2024/09/04 15:59:32,2024/09/04 16:00:30,2d_pool,2d_group,100,1017-1057,41,41,Nuke,0,0,0,0,13,00:00:00:57,00:00:12:00,00:00:00:17,00:00:00:17,00:00:00:49,00:00:00:01,00:00:00:00,00:00:10:58,00:00:00:16,00:00:00:15,00:00:10:58,00:00:00:16,00:00:00:15,00:00:00:17,00:00:00:01,00:00:00:16,00:00:00:16,00:00:00:18,00:00:00:00,00:00:00:16,00:00:00:16,00:00:00:00,00:00:00:00,1304914248,31827176,31651914,2458411008,488452815,485140064,69 %,1 %,1 %,2526954,155824835,0,0,0
305_31_den_0240_prep_wireremovel_v004.nk,66d83ac57e6b4b9c2f4bdbcf,prashant.padvi,,,pnewspt086,2024/09/04 16:17:33,2024/09/04 16:17:34,2024/09/04 16:18:45,2d_pool,2d_group,100,1017-1057,41,41,Nuke,0,0,0,0,12,00:00:01:10,00:00:14:00,00:00:00:20,00:00:00:20,00:00:01:17,00:00:00:01,00:00:00:00,00:00:12:31,00:00:00:18,00:00:00:17,00:00:12:31,00:00:00:18,00:00:00:17,00:00:00:20,00:00:00:01,00:00:00:18,00:00:00:18,00:00:00:21,00:00:00:00,00:00:00:18,00:00:00:18,00:00:00:00,00:00:00:00,1304923814,31827410,31652213,3384008704,458600403,454606432,33 %,1 %,1 %,1939575,168501983,0,0,0
