Job Name,Job ID,User Name,Comment,Department,Submit Machine,Submit Date Time,Start Date Time,Finish Date Time,Pool,Group,Priority,Frame List,Frame Count,Task Count,Plugin,Auxiliary Files,Auxiliary File Size (Bytes),Machine Limit,Error Count,Average Concurrent Tasks,Clock Render Time,Total Task Time,Average Task Time,Median Task Time,Total Task Startup Time,Average Task Startup Time,Median Task Startup Time,Total Task Render Time,Average Task Render Time,Median Task Render Time,Total Normalized Task Render Time,Average Normalized Task Render Time,Median Normalized Task Render Time,Average Frame Time,Average Frame Startup Time,Average Frame Render Time,Average Normalized Frame Render Time,Median Frame Time,Median Frame Startup Time,Median Frame Render Time,Median Normalized Frame Render Time,Wasted Error Time,Wasted Requeue Time,Total Output File Size (Bytes),Average Output File Size (Bytes),Median Output File Size (Bytes),Peak RAM Usage (Bytes),Average RAM Usage (Bytes),Median RAM Usage (Bytes),Peak CPU Usage,Average CPU Usage,Median CPU Usage,Used CPU Clocks,Total CPU Clocks,Peak Swap Usage (Bytes),Average Swap Usage (Bytes),Median Swap Usage (Bytes),Batch Name
AMP_E06_601_0050_v023.nk,66aa4d717e6b4b9c2f49d059,mustak.ahamad,,,pnewspt104,2024/07/31 20:12:57,2024/07/31 20:12:57,2024/07/31 20:17:36,2d_pool,2d_group,100,1009-1092,84,9,Nuke,0,0,0,0,7,00:00:04:38,00:00:30:06,00:00:03:20,00:00:03:22,00:00:00:25,00:00:00:02,00:00:00:02,00:00:29:41,00:00:03:17,00:00:03:19,00:00:29:41,00:00:03:17,00:00:03:19,00:00:00:21,00:00:00:00,00:00:00:21,00:00:00:21,00:00:00:21,00:00:00:01,00:00:00:20,00:00:00:20,00:00:00:00,00:00:00:00,4842039886,538004431,576627655,12316467200,4890379918,5125430272,73 %,1 %,1 %,8097219,554164625,0,0,0,
AMP_E06_601_0050_v023.nk,66aa51c87e6b4b9c2f49d0b9,mustak.ahamad,,,pnewspt104,2024/07/31 20:31:28,2024/07/31 20:31:29,2024/07/31 20:32:42,2d_pool,2d_group,100,1009-1092,84,9,Nuke,0,0,0,0,8,00:00:01:13,00:00:08:53,00:00:00:59,00:00:01:02,00:00:00:24,00:00:00:02,00:00:00:02,00:00:08:28,00:00:00:56,00:00:00:59,00:00:08:28,00:00:00:56,00:00:00:59,00:00:00:06,00:00:00:00,00:00:00:06,00:00:00:06,00:00:00:07,00:00:00:01,00:00:00:06,00:00:00:06,00:00:00:00,00:00:00:00,4314412033,479379114,513799713,1874845696,1141415616,1166598400,46 %,8 %,8 %,12349059,146303310,0,0,0,
AMP_E06_601_0050_v023.nk,66aa53e57e6b4b9c2f49d0e2,mustak.ahamad,,,pnewspt104,2024/07/31 20:40:29,2024/07/31 20:40:29,2024/07/31 20:41:26,2d_pool,2d_group,100,1009-1092,84,9,Nuke,0,0,0,0,7,00:00:00:56,00:00:06:18,00:00:00:42,00:00:00:40,00:00:00:24,00:00:00:02,00:00:00:02,00:00:05:54,00:00:00:39,00:00:00:37,00:00:05:54,00:00:00:39,00:00:00:37,00:00:00:04,00:00:00:00,00:00:00:04,00:00:00:04,00:00:00:05,00:00:00:01,00:00:00:04,00:00:00:04,00:00:00:00,00:00:00:00,4314413199,479379244,513799712,1431138304,837137472,829783488,9 %,1 %,1 %,1047659,94297314,0,0,0,
AMP_E06_601_0050_v023.nk,66aa55687e6b4b9c2f49d0f5,mustak.ahamad,,,pnewspt104,2024/07/31 20:46:56,2024/07/31 20:46:56,2024/07/31 20:51:34,2d_pool,2d_group,100,1009-1092,84,9,Nuke,0,0,0,0,6,00:00:04:37,00:00:25:45,00:00:02:51,00:00:02:33,00:00:00:23,00:00:00:02,00:00:00:02,00:00:25:21,00:00:02:49,00:00:02:30,00:00:25:21,00:00:02:49,00:00:02:30,00:00:00:18,00:00:00:00,00:00:00:18,00:00:00:18,00:00:00:16,00:00:00:01,00:00:00:16,00:00:00:16,00:00:00:00,00:00:00:00,9155946488,1017327387,1090361918,13579210752,5769204337,5856585728,64 %,4 %,4 %,21653622,470087799,0,0,0,
AMP_E06_601_0050_v023.nk,66aa577f7e6b4b9c2f49d121,mustak.ahamad,,,pnewspt104,2024/07/31 20:55:51,2024/07/31 20:55:52,2024/07/31 20:59:27,2d_pool,2d_group,100,1009-1092,84,9,Nuke,0,0,0,0,7,00:00:03:34,00:00:22:46,00:00:02:31,00:00:02:42,00:00:00:24,00:00:00:02,00:00:00:02,00:00:22:22,00:00:02:29,00:00:02:39,00:00:22:22,00:00:02:29,00:00:02:39,00:00:00:16,00:00:00:00,00:00:00:15,00:00:00:15,00:00:00:17,00:00:00:01,00:00:00:16,00:00:00:16,00:00:00:00,00:00:00:00,9155947664,1017327518,1090361918,13351612416,5253530254,5248410112,69 %,2 %,1 %,6669511,406787353,0,0,0,
AMP_E06_601_0050_v023.nk,66aa64ef7e6b4b9c2f49d1cf,mustak.ahamad,,,pnewspt104,2024/07/31 21:53:10,2024/07/31 21:53:11,2024/07/31 21:54:34,2d_pool,2d_group,100,1009-1092,84,9,Nuke,0,0,0,0,8,00:00:01:23,00:00:09:52,00:00:01:05,00:00:01:06,00:00:00:24,00:00:00:02,00:00:00:02,00:00:09:28,00:00:01:03,00:00:01:03,00:00:09:28,00:00:01:03,00:00:01:03,00:00:00:07,00:00:00:00,00:00:00:06,00:00:00:06,00:00:00:07,00:00:00:01,00:00:00:07,00:00:00:07,00:00:00:00,00:00:00:00,4313894930,479321658,513734262,1991925760,1058932977,1087451776,47 %,4 %,4 %,6331449,160968298,0,0,0,
AMP_E06_601_0050_v025.nk,66aa401c7e6b4b9c2f49cf7e,mustak.ahamad,,,pnewspt104,2024/07/31 19:16:04,2024/07/31 19:16:04,2024/07/31 19:25:05,2d_pool,2d_group,100,1009-1092,84,9,Nuke,0,0,0,0,7,00:00:09:00,00:00:57:27,00:00:06:23,00:00:07:30,00:00:00:23,00:00:00:02,00:00:00:02,00:00:57:03,00:00:06:20,00:00:07:27,00:00:57:03,00:00:06:20,00:00:07:27,00:00:00:41,00:00:00:00,00:00:00:40,00:00:00:40,00:00:00:49,00:00:00:01,00:00:00:48,00:00:00:48,00:00:00:00,00:00:00:00,4778993086,530999231,567627755,24908029952,14269866268,15352417280,97 %,2 %,2 %,20709305,1074650198,0,0,0,
bvg128_0490_roto_Roto03_v007_mov_roto_overlay_exr,66aa0d407e6b4b9c2f49cc5e,aniket.kadam,None,,pnewsrt037.basilic.com,2024/07/31 15:39:04,2024/07/31 15:40:00,2024/07/31 15:40:33,2d_pool,2d_group,50,1014-1076,63,7,Nuke,1,5391,0,0,6,00:00:00:32,00:00:03:08,00:00:00:26,00:00:00:28,00:00:00:22,00:00:00:03,00:00:00:02,00:00:02:46,00:00:00:23,00:00:00:25,00:00:02:46,00:00:00:23,00:00:00:25,00:00:00:02,00:00:00:00,00:00:00:02,00:00:00:02,00:00:00:03,00:00:00:01,00:00:00:03,00:00:00:03,00:00:00:00,00:00:00:00,0,0,0,2785009664,753633229,825723584,67 %,3 %,3 %,1040818,42978042,0,0,0,
bvg128_0490_roto_Roto03_v007_mov_roto_overlay_mov,66aa0d447e6b4b9c2f49cc5f,aniket.kadam,None,,pnewsrt037.basilic.com,2024/07/31 15:39:07,2024/07/31 15:41:09,2024/07/31 15:41:23,2d_pool,2d_group,50,1014-1076,63,1,Nuke,1,10428,0,0,1,00:00:00:13,00:00:00:13,00:00:00:13,00:00:00:13,00:00:00:03,00:00:00:03,00:00:00:03,00:00:00:09,00:00:00:09,00:00:00:09,00:00:00:09,00:00:00:09,00:00:00:09,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:00,00:00:00:00,0,0,0,811700224,260490576,260490576,25 %,3 %,3 %,64191,2139668,0,0,0,
bvg128_0490_roto_Roto03_v007_NewSession_ReviewOutputNode,66aa06d67e6b4b9c2f49cbb4,aniket.kadam,,,pnewsrt037.basilic.com,2024/07/31 15:11:42,2024/07/31 15:11:43,2024/07/31 15:12:11,2d_pool,2d_group,100,1014-1076,63,7,Silhouette,1,104120,0,1,5,00:00:00:28,00:00:02:13,00:00:00:19,00:00:00:19,00:00:00:19,00:00:00:02,00:00:00:02,00:00:01:54,00:00:00:16,00:00:00:16,00:00:01:54,00:00:00:16,00:00:00:16,00:00:00:02,00:00:00:00,00:00:00:01,00:00:00:01,00:00:00:02,00:00:00:01,00:00:00:02,00:00:00:02,00:00:00:09,00:00:00:00,0,0,0,1581940736,350600118,359404736,26 %,4 %,4 %,1159470,27111112,0,0,0,
