Job Name,Job ID,User Name,Comment,Department,Submit Machine,Submit Date Time,Start Date Time,Finish Date Time,Pool,Group,Priority,Frame List,Frame Count,Task Count,Plugin,Auxiliary Files,Auxiliary File Size (Bytes),Machine Limit,Error Count,Average Concurrent Tasks,Clock Render Time,Total Task Time,Average Task Time,Median Task Time,Total Task Startup Time,Average Task Startup Time,Median Task Startup Time,Total Task Render Time,Average Task Render Time,Median Task Render Time,Total Normalized Task Render Time,Average Normalized Task Render Time,Median Normalized Task Render Time,Average Frame Time,Average Frame Startup Time,Average Frame Render Time,Average Normalized Frame Render Time,Median Frame Time,Median Frame Startup Time,Median Frame Render Time,Median Normalized Frame Render Time,Wasted Error Time,Wasted Requeue Time,Total Output File Size (Bytes),Average Output File Size (Bytes),Median Output File Size (Bytes),Peak RAM Usage (Bytes),Average RAM Usage (Bytes),Median RAM Usage (Bytes),Peak CPU Usage,Average CPU Usage,Median CPU Usage,Used CPU Clocks,Total CPU Clocks,Peak Swap Usage (Bytes),Average Swap Usage (Bytes),Median Swap Usage (Bytes),Batch Name
301_13_taf_0467_bg_track_v0016.nk,66d6e78f7e6b4b9c2f4bccd3,suraj.umbarkar,,,pnewspt105,2024/09/03 16:10:15,2024/09/03 16:10:17,2024/09/03 16:12:28,2d_pool,2d_group,100,1017-1081,65,65,Nuke,0,0,0,4,16,00:00:02:10,00:00:32:51,00:00:00:30,00:00:00:30,00:00:00:48,00:00:00:00,00:00:00:00,00:00:31:37,00:00:00:29,00:00:00:29,00:00:31:37,00:00:00:29,00:00:00:29,00:00:00:30,00:00:00:00,00:00:00:29,00:00:00:29,00:00:00:31,00:00:00:00,00:00:00:30,00:00:00:30,00:00:00:35,00:00:00:00,7180645942,110471476,110461484,13794107392,4019636992,3884457984,96 %,6 %,6 %,30725027,510392850,0,0,0,
304_50_mvf_0060_prep_polesremoval_v001.nk,66d6673a7e6b4b9c2f4bc3c4,mahendra.bobade,,,pnewspt080.basilic.com,2024/09/03 7:02:42,2024/09/03 7:02:42,2024/09/03 7:03:21,2d_pool,2d_group,50,1001-1137,137,14,Nuke,1,252129,0,0,13,00:00:00:39,00:00:08:03,00:00:00:34,00:00:00:34,00:00:00:38,00:00:00:02,00:00:00:02,00:00:07:24,00:00:00:31,00:00:00:31,00:00:07:24,00:00:00:31,00:00:00:31,00:00:00:03,00:00:00:00,00:00:00:03,00:00:00:03,00:00:00:04,00:00:00:01,00:00:00:04,00:00:00:04,00:00:00:00,00:00:00:00,0,0,0,1921671168,513122112,520220672,25 %,1 %,1 %,1602881,118527775,0,0,0,
304_50_mvf_0060_prep_polesremoval_v001.nk,66d667b57e6b4b9c2f4bc3d8,mahendra.bobade,,,pnewspt080.basilic.com,2024/09/03 7:04:45,2024/09/03 7:04:45,2024/09/03 7:05:16,2d_pool,2d_group,50,1001-1137,137,14,Nuke,1,252115,0,0,11,00:00:00:30,00:00:05:19,00:00:00:22,00:00:00:22,00:00:00:39,00:00:00:02,00:00:00:02,00:00:04:39,00:00:00:19,00:00:00:19,00:00:04:39,00:00:00:19,00:00:00:19,00:00:00:02,00:00:00:00,00:00:00:02,00:00:00:02,00:00:00:03,00:00:00:01,00:00:00:02,00:00:00:02,00:00:00:00,00:00:00:00,0,0,0,1958379520,565804226,531737408,22 %,1 %,1 %,1074838,71795974,0,0,0,
304_50_mvf_0060_prep_polesremoval_v002.nk,66d67b877e6b4b9c2f4bc535,mahendra.bobade,,,pnewspt080,2024/09/03 8:29:19,2024/09/03 8:29:21,2024/09/03 8:30:38,2d_pool,2d_group,100,1001-1137,137,137,Nuke,0,0,0,4,80,00:00:01:16,00:01:42:22,00:00:00:44,00:00:00:43,00:00:08:12,00:00:00:03,00:00:00:03,00:01:34:09,00:00:00:41,00:00:00:39,00:01:34:09,00:00:00:41,00:00:00:39,00:00:00:44,00:00:00:03,00:00:00:41,00:00:00:41,00:00:00:44,00:00:00:04,00:00:00:40,00:00:00:40,00:00:00:16,00:00:00:00,2943533259,21485644,21451328,1017655296,328805007,332617440,20 %,0 %,1 %,14357927,1427603997,0,0,0,
304_50_mvf_0060_prep_polesremoval_v002.nk,66d6a1f47e6b4b9c2f4bc8b2,mahendra.bobade,,,pnewspt080.basilic.com,2024/09/03 11:13:16,2024/09/03 11:13:17,2024/09/03 11:13:50,2d_pool,2d_group,50,1001-1137,137,14,Nuke,1,7317315,0,0,13,00:00:00:33,00:00:06:42,00:00:00:28,00:00:00:29,00:00:00:40,00:00:00:02,00:00:00:02,00:00:06:02,00:00:00:25,00:00:00:26,00:00:06:02,00:00:00:25,00:00:00:26,00:00:00:02,00:00:00:00,00:00:00:02,00:00:00:02,00:00:00:03,00:00:00:01,00:00:00:03,00:00:00:03,00:00:00:00,00:00:00:00,0,0,0,1369239552,571955049,572773376,44 %,2 %,2 %,2130286,96618406,0,0,0,
304_50_mvf_0060_prep_polesremoval_v002.nk,66d6a2827e6b4b9c2f4bc8dc,mahendra.bobade,,,pnewspt080.basilic.com,2024/09/03 11:15:37,2024/09/03 11:15:38,2024/09/03 11:16:11,2d_pool,2d_group,50,1001-1137,137,14,Nuke,1,7317254,0,0,10,00:00:00:33,00:00:05:21,00:00:00:22,00:00:00:22,00:00:00:39,00:00:00:02,00:00:00:02,00:00:04:41,00:00:00:20,00:00:00:19,00:00:04:41,00:00:00:20,00:00:00:19,00:00:00:02,00:00:00:00,00:00:00:02,00:00:00:02,00:00:00:03,00:00:00:01,00:00:00:02,00:00:00:02,00:00:00:00,00:00:00:00,0,0,0,1401618432,525326891,527577472,19 %,1 %,1 %,1104804,77435742,0,0,0,
304_50_mvf_0060_prep_polesremoval_v002.nk,66d6a38b7e6b4b9c2f4bc8f6,mahendra.bobade,,,pnewspt080,2024/09/03 11:20:03,2024/09/03 11:20:03,2024/09/03 11:21:12,2d_pool,2d_group,100,1001-1137,137,137,Nuke,0,0,0,5,78,00:00:01:08,00:01:28:44,00:00:00:38,00:00:00:37,00:00:08:17,00:00:00:03,00:00:00:03,00:01:20:26,00:00:00:35,00:00:00:34,00:01:20:26,00:00:00:35,00:00:00:34,00:00:00:38,00:00:00:03,00:00:00:35,00:00:00:35,00:00:00:38,00:00:00:04,00:00:00:35,00:00:00:35,00:00:00:28,00:00:00:00,5887047950,42971152,42902656,1066221568,381184659,384587200,28 %,1 %,1 %,12769308,1223218499,0,0,0,
305_09_ssd_0140_roto_test_v001.nk,66d6bcc87e6b4b9c2f4bca7a,rohitk,,,pnewspd133.basilic.com,2024/09/03 13:07:44,2024/09/03 13:07:45,2024/09/03 13:08:25,2d_pool,2d_group,50,1001-1100,100,10,Nuke,1,2368,0,0,10,00:00:00:39,00:00:05:53,00:00:00:35,00:00:00:35,00:00:00:27,00:00:00:02,00:00:00:02,00:00:05:25,00:00:00:32,00:00:00:32,00:00:05:25,00:00:00:32,00:00:00:32,00:00:00:03,00:00:00:00,00:00:00:03,00:00:00:03,00:00:00:04,00:00:00:01,00:00:00:04,00:00:00:04,00:00:00:00,00:00:00:00,0,0,0,830025728,523236201,520510528,32 %,1 %,1 %,1215356,86123850,0,0,0,
305_31_den_0090_roto_char_v008_NewSession_ReviewOutputNode,66d6dc207e6b4b9c2f4bcc43,ramij.shaikh,,,pnewsrt048.basilic.com,2024/09/03 15:21:28,2024/09/03 15:21:29,2024/09/03 15:22:10,2d_pool,2d_group,100,1017-1117,101,11,Silhouette,1,303900,0,2,9,00:00:00:40,00:00:05:35,00:00:00:30,00:00:00:31,00:00:00:32,00:00:00:02,00:00:00:02,00:00:05:03,00:00:00:27,00:00:00:28,00:00:05:03,00:00:00:27,00:00:00:28,00:00:00:03,00:00:00:00,00:00:00:03,00:00:00:03,00:00:00:04,00:00:00:01,00:00:00:04,00:00:00:04,00:00:00:22,00:00:00:00,0,0,0,1167003648,357569553,363433664,24 %,1 %,1 %,1372190,76685933,0,0,0,
305_31_den_0090_roto_char_v008_NewSession_ReviewOutputNode,66d6dd797e6b4b9c2f4bcc5c,ramij.shaikh,,,pnewsrt048.basilic.com,2024/09/03 15:27:13,2024/09/03 15:27:13,2024/09/03 15:27:56,2d_pool,2d_group,100,1017-1117,101,11,Silhouette,1,303901,0,2,8,00:00:00:42,00:00:05:08,00:00:00:28,00:00:00:29,00:00:00:31,00:00:00:02,00:00:00:02,00:00:04:37,00:00:00:25,00:00:00:26,00:00:04:37,00:00:00:25,00:00:00:26,00:00:00:03,00:00:00:00,00:00:00:02,00:00:00:02,00:00:00:03,00:00:00:01,00:00:00:03,00:00:00:03,00:00:00:20,00:00:00:00,0,0,0,1927303168,511994888,502136160,26 %,2 %,3 %,1955303,75229123,0,0,0,
