Job Name,Job ID,User Name,Comment,Department,Submit Machine,Submit Date Time,Start Date Time,Finish Date Time,Pool,Group,Priority,Frame List,Frame Count,Task Count,Plugin,Auxiliary Files,Auxiliary File Size (Bytes),Machine Limit,Error Count,Average Concurrent Tasks,Clock Render Time,Total Task Time,Average Task Time,Median Task Time,Total Task Startup Time,Average Task Startup Time,Median Task Startup Time,Total Task Render Time,Average Task Render Time,Median Task Render Time,Total Normalized Task Render Time,Average Normalized Task Render Time,Median Normalized Task Render Time,Average Frame Time,Average Frame Startup Time,Average Frame Render Time,Average Normalized Frame Render Time,Median Frame Time,Median Frame Startup Time,Median Frame Render Time,Median Normalized Frame Render Time,Wasted Error Time,Wasted Requeue Time,Total Output File Size (Bytes),Average Output File Size (Bytes),Median Output File Size (Bytes),Peak RAM Usage (Bytes),Average RAM Usage (Bytes),Median RAM Usage (Bytes),Peak CPU Usage,Average CPU Usage,Median CPU Usage,Used CPU Clocks,Total CPU Clocks,Peak Swap Usage (Bytes),Average Swap Usage (Bytes),Median Swap Usage (Bytes),Batch Name
com_0310_prep_carpet_v016.nk,66d2c04a7e6b4b9c2f4b9a5b,akshay.basarge,,,pnewspt098.basilic.com,2024/08/31 12:33:37,2024/08/31 12:33:38,2024/08/31 12:35:53,2d_pool,2d_group,50,1001-1102,102,11,Nuke,1,1380513,0,0,8,00:00:02:15,00:00:16:56,00:00:01:32,00:00:01:23,00:00:00:41,00:00:00:03,00:00:00:02,00:00:16:14,00:00:01:28,00:00:01:19,00:00:16:14,00:00:01:28,00:00:01:19,00:00:00:09,00:00:00:00,00:00:00:09,00:00:00:09,00:00:00:09,00:00:00:01,00:00:00:09,00:00:00:09,00:00:00:00,00:00:00:00,0,0,0,10221494272,4213982266,4180749312,99 %,41 %,43 %,121719145,276585857,0,0,0,
com_0310_prep_carpet_v016.nk,66d2d93f7e6b4b9c2f4b9b5c,akshay.basarge,,,pnewspt098.basilic.com,2024/08/31 14:20:07,2024/08/31 14:20:08,2024/08/31 14:22:18,2d_pool,2d_group,50,1001-1102,102,11,Nuke,1,1545688,0,0,8,00:00:02:10,00:00:16:39,00:00:01:30,00:00:01:24,00:00:00:30,00:00:00:02,00:00:00:02,00:00:16:08,00:00:01:28,00:00:01:21,00:00:16:08,00:00:01:28,00:00:01:21,00:00:00:09,00:00:00:00,00:00:00:09,00:00:00:09,00:00:00:09,00:00:00:01,00:00:00:09,00:00:00:09,00:00:00:00,00:00:00:00,0,0,0,10726965248,4220749090,4177078528,99 %,43 %,45 %,131773508,279644246,0,0,0,
com_0310_prep_carpet_v016.nkversion_sg,66d2c0587e6b4b9c2f4b9a65,akshay.basarge,,,pnewspt098,2024/08/31 12:33:52,2024/08/31 12:38:53,2024/08/31 12:39:10,ingestion_pool,none,50,1,1,1,Python,1,2926,0,0,1,00:00:00:17,00:00:00:17,00:00:00:17,00:00:00:17,00:00:00:02,00:00:00:02,00:00:00:02,00:00:00:14,00:00:00:14,00:00:00:14,00:00:00:14,00:00:00:14,00:00:00:14,00:00:00:17,00:00:00:02,00:00:00:14,00:00:00:14,00:00:00:18,00:00:00:03,00:00:00:15,00:00:00:15,00:00:00:00,00:00:00:00,0,0,0,194314240,176329936,176329936,1 %,1 %,1 %,37934,3793364,0,0,0,
com_0310_prep_carpet_v016.nkversion_sg,66d2d94c7e6b4b9c2f4b9b69,akshay.basarge,,,pnewspt098,2024/08/31 14:20:20,2024/08/31 14:23:47,2024/08/31 14:24:02,ingestion_pool,none,50,1,1,1,Python,1,2947,0,0,1,00:00:00:14,00:00:00:14,00:00:00:14,00:00:00:14,00:00:00:02,00:00:00:02,00:00:00:02,00:00:00:11,00:00:00:11,00:00:00:11,00:00:00:11,00:00:00:11,00:00:00:11,00:00:00:14,00:00:00:02,00:00:00:11,00:00:00:11,00:00:00:15,00:00:00:03,00:00:00:12,00:00:00:12,00:00:00:00,00:00:00:00,0,0,0,196210688,177951168,177951168,1 %,1 %,1 %,21442,2144103,0,0,0,
com_0310_prep_carpet_v018.nk,66d2dffc7e6b4b9c2f4b9c09,akshay.basarge,,,pnewspt098.basilic.com,2024/08/31 14:48:52,2024/08/31 14:48:52,2024/08/31 14:51:01,2d_pool,2d_group,50,1001-1102,102,11,Nuke,1,1556384,0,0,8,00:00:02:08,00:00:16:19,00:00:01:29,00:00:01:22,00:00:00:31,00:00:00:02,00:00:00:02,00:00:15:47,00:00:01:26,00:00:01:19,00:00:15:47,00:00:01:26,00:00:01:19,00:00:00:09,00:00:00:00,00:00:00:09,00:00:00:09,00:00:00:09,00:00:00:01,00:00:00:09,00:00:00:09,00:00:00:00,00:00:00:00,0,0,0,10532708352,4096360564,4062843648,100 %,45 %,46 %,133889819,275080866,0,0,0,
com_0310_prep_carpet_v018.nk,66d2f01a7e6b4b9c2f4b9da4,akshay.basarge,,,pnewspt098.basilic.com,2024/08/31 15:57:37,2024/08/31 15:57:38,2024/08/31 15:59:54,2d_pool,2d_group,50,1001-1102,102,11,Nuke,1,1541376,0,0,8,00:00:02:15,00:00:17:05,00:00:01:33,00:00:01:25,00:00:00:29,00:00:00:02,00:00:00:02,00:00:16:35,00:00:01:30,00:00:01:22,00:00:16:35,00:00:01:30,00:00:01:22,00:00:00:10,00:00:00:00,00:00:00:09,00:00:00:09,00:00:00:09,00:00:00:01,00:00:00:09,00:00:00:09,00:00:00:00,00:00:00:00,0,0,0,10882203648,4490782149,4456480256,99 %,43 %,43 %,139585827,295056332,0,0,0,
com_0310_prep_carpet_v018.nk,66d2f4b97e6b4b9c2f4b9e24,akshay.basarge,,,pnewspt098.basilic.com,2024/08/31 16:17:21,2024/08/31 16:17:22,2024/08/31 16:19:35,2d_pool,2d_group,50,1001-1102,102,11,Nuke,1,1688198,0,0,9,00:00:02:13,00:00:17:44,00:00:01:36,00:00:01:31,00:00:00:30,00:00:00:02,00:00:00:02,00:00:17:14,00:00:01:34,00:00:01:28,00:00:17:14,00:00:01:34,00:00:01:28,00:00:00:10,00:00:00:00,00:00:00:10,00:00:00:10,00:00:00:10,00:00:00:01,00:00:00:10,00:00:00:10,00:00:00:00,00:00:00:00,0,0,0,10898567168,4469477620,4540477952,100 %,42 %,41 %,142021730,305648747,0,0,0,
com_0310_prep_carpet_v018.nkversion_sg,66d2e0077e6b4b9c2f4b9c17,akshay.basarge,,,pnewspt098,2024/08/31 14:49:03,2024/08/31 14:52:25,2024/08/31 14:52:34,ingestion_pool,none,50,1,1,1,Python,1,2948,0,0,1,00:00:00:09,00:00:00:09,00:00:00:09,00:00:00:09,00:00:00:02,00:00:00:02,00:00:00:02,00:00:00:06,00:00:00:06,00:00:00:06,00:00:00:06,00:00:00:06,00:00:00:06,00:00:00:09,00:00:00:02,00:00:00:06,00:00:00:06,00:00:00:10,00:00:00:03,00:00:00:07,00:00:00:07,00:00:00:00,00:00:00:00,0,0,0,194007040,179819520,179819520,1 %,1 %,1 %,12425,1242490,0,0,0,
com_0310_prep_carpet_v018.nkversion_sg,66d2f0267e6b4b9c2f4b9db1,akshay.basarge,,,pnewspt098,2024/08/31 15:57:50,2024/08/31 16:01:26,2024/08/31 16:01:37,ingestion_pool,none,50,1,1,1,Python,1,2948,0,0,1,00:00:00:10,00:00:00:10,00:00:00:10,00:00:00:10,00:00:00:02,00:00:00:02,00:00:00:02,00:00:00:07,00:00:00:07,00:00:00:07,00:00:00:07,00:00:00:07,00:00:00:07,00:00:00:10,00:00:00:02,00:00:00:07,00:00:00:07,00:00:00:11,00:00:00:03,00:00:00:08,00:00:00:08,00:00:00:00,00:00:00:00,0,0,0,196292608,181406720,181406720,0 %,0 %,0 %,0,0,0,0,0,
com_0310_prep_carpet_v018.nkversion_sg,66d2f4c77e6b4b9c2f4b9e33,akshay.basarge,,,pnewspt098,2024/08/31 16:17:35,2024/08/31 16:21:38,2024/08/31 16:21:47,ingestion_pool,none,50,1,1,1,Python,1,2948,0,0,1,00:00:00:09,00:00:00:09,00:00:00:09,00:00:00:09,00:00:00:02,00:00:00:02,00:00:00:02,00:00:00:06,00:00:00:06,00:00:00:06,00:00:00:06,00:00:00:06,00:00:00:06,00:00:00:09,00:00:00:02,00:00:00:06,00:00:00:06,00:00:00:10,00:00:00:03,00:00:00:07,00:00:00:07,00:00:00:00,00:00:00:00,0,0,0,193974272,179289600,179289600,1 %,1 %,1 %,12419,1241856,0,0,0,
