Job Name,Job ID,User Name,Comment,Department,Submit Machine,Submit Date Time,Start Date Time,Finish Date Time,Pool,Group,Priority,Frame List,Frame Count,Task Count,Plugin,Auxiliary Files,Auxiliary File Size (Bytes),Machine Limit,Error Count,Average Concurrent Tasks,Clock Render Time,Total Task Time,Average Task Time,Median Task Time,Total Task Startup Time,Average Task Startup Time,Median Task Startup Time,Total Task Render Time,Average Task Render Time,Median Task Render Time,Total Normalized Task Render Time,Average Normalized Task Render Time,Median Normalized Task Render Time,Average Frame Time,Average Frame Startup Time,Average Frame Render Time,Average Normalized Frame Render Time,Median Frame Time,Median Frame Startup Time,Median Frame Render Time,Median Normalized Frame Render Time,Wasted Error Time,Wasted Requeue Time,Total Output File Size (Bytes),Average Output File Size (Bytes),Median Output File Size (Bytes),Peak RAM Usage (Bytes),Average RAM Usage (Bytes),Median RAM Usage (Bytes),Peak CPU Usage,Average CPU Usage,Median CPU Usage,Used CPU Clocks,Total CPU Clocks,Peak Swap Usage (Bytes),Average Swap Usage (Bytes),Median Swap Usage (Bytes),Batch Name,cores used
F_dpc000_1100_paint_wolvrien_wire_v025.nk,661adbf42f618a1633c9fbfc,ravindrachoure,,,pnewspt091,2024/04/14 0:54:36,2024/04/14 0:54:56,2024/04/14 0:56:36,local_pool,local_grp,100,"1193,1195,1206,1194,1168,1209-1210,1199,1203,1205,1212,1214,1229",13,13,Nuke,1,26212547,0,1,2,00:00:01:39,00:00:02:35,00:00:00:11,00:00:00:11,00:00:00:26,00:00:00:02,00:00:00:02,00:00:02:06,00:00:00:09,00:00:00:09,00:00:02:06,00:00:00:09,00:00:00:09,00:00:00:11,00:00:00:02,00:00:00:09,00:00:00:09,00:00:00:12,00:00:00:03,00:00:00:10,00:00:00:10,00:00:00:13,00:00:00:00,47377497,3644422,0,3559780352,745570865,734371840,99 %,13 %,13 %,654982,5787225,0,0,0,,87
dpc000_1100&1200_mp01_WIP_comp_v011.nk,661c98ab2f618a1633cefa57,vivek.yadav,,,pnewspt074,2024/04/15 8:32:02,2024/04/15 8:32:03,2024/04/15 8:38:44,2d_pool,2d_grp,100,1845-2098,254,254,Nuke,0,0,0,0,19,00:00:06:40,00:02:01:10,00:00:00:28,00:00:00:22,00:00:02:25,00:00:00:00,00:00:00:00,00:01:56:32,00:00:00:27,00:00:00:20,00:01:56:32,00:00:00:27,00:00:00:20,00:00:00:28,00:00:00:00,00:00:00:27,00:00:00:27,00:00:00:23,00:00:00:00,00:00:00:21,00:00:00:21,00:00:00:00,00:00:00:00,6444610320,25372481,25396040,6282534912,4873561262,5418386944,73 %,1 %,1 %,15634375,1204818415,0,0,0,,64
dpc000_1100_both_hand_marker_prep_v020.nk,661cc5472f618a1633cf35b7,akshayd,,,pnewspt081,2024/04/15 11:42:23,2024/04/15 11:42:23,2024/04/15 11:44:03,2d_pool,2d_grp,100,1238-1371,134,134,Nuke,0,0,0,0,16,00:00:01:39,00:00:26:07,00:00:00:11,00:00:00:08,00:00:02:08,00:00:00:00,00:00:00:00,00:00:22:57,00:00:00:10,00:00:00:07,00:00:22:57,00:00:00:10,00:00:00:07,00:00:00:11,00:00:00:00,00:00:00:10,00:00:00:10,00:00:00:09,00:00:00:00,00:00:00:08,00:00:00:08,00:00:00:00,00:00:00:00,3233779826,24132685,24150276,13802602496,9973244316,11350008832,95 %,2 %,1 %,4335607,222976283,0,0,0,,84
dpc000_1100_both_hand_marker_prep_v021.nk,661cd11d2f618a1633cf3666,akshayd,,,pnewspt081,2024/04/15 12:32:53,2024/04/15 12:32:54,2024/04/15 12:34:29,2d_pool,2d_grp,100,1238-1371,134,134,Nuke,0,0,0,1,20,00:00:01:35,00:00:30:34,00:00:00:13,00:00:00:08,00:00:02:51,00:00:00:01,00:00:00:00,00:00:27:04,00:00:00:12,00:00:00:08,00:00:27:04,00:00:00:12,00:00:00:08,00:00:00:13,00:00:00:01,00:00:00:12,00:00:00:12,00:00:00:09,00:00:00:00,00:00:00:09,00:00:00:09,00:00:00:02,00:00:00:00,3233779342,24132681,24150275,12463517696,7608185513,9672009728,95 %,2 %,1 %,5049139,283445798,0,0,0,,84
dpc000_1100_both_hand_marker_prep_v023.nk,661cea232f618a1633cf3768,akshayd,,,pnewspt081,2024/04/15 14:19:38,2024/04/15 14:19:39,2024/04/15 14:21:18,2d_pool,2d_grp,100,1238-1371,134,134,Nuke,0,0,0,0,16,00:00:01:39,00:00:25:56,00:00:00:11,00:00:00:08,00:00:02:44,00:00:00:01,00:00:00:00,00:00:22:08,00:00:00:09,00:00:00:07,00:00:22:08,00:00:00:09,00:00:00:07,00:00:00:11,00:00:00:01,00:00:00:09,00:00:00:09,00:00:00:09,00:00:00:00,00:00:00:08,00:00:00:08,00:00:00:00,00:00:00:00,3233778970,24132678,24150257,13558517760,9480866532,10724285440,96 %,2 %,1 %,4244150,228985576,0,0,0,,84
dpc000_1100_car_repair_v019,661cb7a32f618a1633cf34b2,naveenkumar,,,pnewspt096,2024/04/15 10:44:11,2024/04/15 10:44:36,2024/04/15 10:48:05,2d_pool,2d_grp,100,1370-1852,483,97,Nuke,0,0,0,0,13,00:00:03:28,00:00:43:26,00:00:00:26,00:00:00:23,00:00:00:57,00:00:00:00,00:00:00:00,00:00:41:57,00:00:00:25,00:00:00:22,00:00:41:57,00:00:00:25,00:00:00:22,00:00:00:05,00:00:00:00,00:00:00:05,00:00:00:05,00:00:00:05,00:00:00:00,00:00:00:05,00:00:00:05,00:00:00:00,00:00:00:00,0,0,0,2008449024,835387064,836191808,79 %,2 %,1 %,7561766,413468903,0,0,0,,70
dpc000_1100_car_repair_v020,661cbe942f618a1633cf3553,naveenkumar,,,pnewspt096,2024/04/15 11:13:48,2024/04/15 11:13:48,2024/04/15 11:15:45,2d_pool,2d_grp,100,1370-1852,483,97,Nuke,0,0,0,0,16,00:00:01:57,00:00:29:34,00:00:00:18,00:00:00:17,00:00:00:58,00:00:00:00,00:00:00:00,00:00:27:53,00:00:00:17,00:00:00:15,00:00:27:53,00:00:00:17,00:00:00:15,00:00:00:03,00:00:00:00,00:00:00:03,00:00:00:03,00:00:00:04,00:00:00:00,00:00:00:04,00:00:00:04,00:00:00:00,00:00:00:00,0,0,0,2076229632,822068430,829222080,67 %,2 %,2 %,7393922,299162067,0,0,0,,59
dpc000_1100_car_repair_v021,661ced632f618a1633cf37ad,naveenkumar,,,pnewspt096,2024/04/15 14:33:31,2024/04/15 14:33:31,2024/04/15 14:36:14,2d_pool,2d_grp,100,1370-1852,483,97,Nuke,0,0,0,0,17,00:00:02:42,00:00:43:38,00:00:00:26,00:00:00:25,00:00:02:20,00:00:00:01,00:00:00:00,00:00:40:34,00:00:00:25,00:00:00:22,00:00:40:34,00:00:00:25,00:00:00:22,00:00:00:05,00:00:00:00,00:00:00:05,00:00:00:05,00:00:00:06,00:00:00:00,00:00:00:05,00:00:00:05,00:00:00:00,00:00:00:00,0,0,0,2103144448,778034181,809859264,56 %,1 %,1 %,7745464,469070286,0,0,0,,49
dpc000_1100_mp01_degrain_Wire_removal_v041.nk,661cae792f618a1633cf33d9,amoldhoke,,,pnewspt103,2024/04/15 10:05:05,2024/04/15 10:05:06,2024/04/15 10:11:22,2d_pool,2d_grp,100,1095-1720,626,626,Nuke,1,8266268,0,0,29,00:00:06:15,00:02:55:42,00:00:00:16,00:00:00:15,00:00:02:08,00:00:00:00,00:00:00:00,00:02:49:47,00:00:00:16,00:00:00:14,00:02:49:47,00:00:00:16,00:00:00:14,00:00:00:16,00:00:00:00,00:00:00:16,00:00:00:16,00:00:00:16,00:00:00:00,00:00:00:15,00:00:00:15,00:00:00:00,00:00:00:00,14868184792,23751093,23853745,8060129280,724133086,675700736,97 %,1 %,1 %,28851733,1690453457,0,0,0,,85
dpc000_1100_mp01_degrain_Wire_removal_v042.nk,661cee6c2f618a1633cf37dd,amoldhoke,,,pnewspt103,2024/04/15 14:37:55,2024/04/15 14:37:57,2024/04/15 14:44:54,2d_pool,2d_grp,100,1095-1720,626,626,Nuke,1,8774274,0,1,32,00:00:06:56,00:03:38:46,00:00:00:20,00:00:00:19,00:00:02:02,00:00:00:00,00:00:00:00,00:03:33:18,00:00:00:20,00:00:00:18,00:03:33:18,00:00:00:20,00:00:00:18,00:00:00:20,00:00:00:00,00:00:00:20,00:00:00:20,00:00:00:20,00:00:00:00,00:00:00:19,00:00:00:19,00:00:00:02,00:00:00:00,14868240292,23751182,23853849,9106608128,900772822,854011072,95 %,1 %,1 %,37354110,2339768482,0,0,0,,84
